@relation pacmandirection-weka.filters.unsupervised.attribute.Remove-R1-7-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R18-21

@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
-1,15,1,7,1,1,5,12,13,6,13,12,True,True,True,True,True,North
-1,14,-1,6,1,1,5,12,5,1,13,12,False,True,True,True,True,North
-1,15,-1,7,1,1,5,12,5,1,13,12,True,True,True,True,True,East
-1,16,-1,8,1,1,5,12,5,1,13,12,True,True,True,True,True,East
-1,15,-1,7,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,14,-1,6,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,13,-1,5,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,12,-1,4,1,1,5,12,5,1,13,12,True,True,True,True,True,North
-1,11,-1,3,1,1,5,12,5,1,13,12,True,True,True,False,True,North
-1,10,-1,2,1,1,5,12,5,1,13,12,True,True,True,False,True,North
-1,11,-1,3,1,1,5,12,5,1,13,12,True,True,True,False,True,North
-1,12,-1,4,1,1,5,12,5,1,13,12,False,True,True,True,True,North
-1,11,-1,3,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,10,-1,2,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,9,-1,3,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,8,-1,4,1,1,5,12,5,1,13,12,False,False,True,True,True,West
-1,7,-1,5,1,1,5,12,5,1,13,12,False,True,True,True,True,West
-1,6,-1,4,1,1,5,12,5,1,13,12,True,True,False,True,True,South
-1,5,-1,3,1,1,5,12,5,1,13,12,True,False,True,True,True,South
-1,6,-1,2,1,1,5,12,5,1,13,12,False,False,True,True,True,East
-1,7,-1,1,1,1,5,12,5,1,13,12,False,False,True,True,True,East
-1,8,-1,-1,1,1,5,12,5,1,7,1,False,False,False,True,True,East
-1,7,-1,-1,1,1,5,12,5,1,7,1,False,False,True,True,True,West
-1,6,-1,-1,1,1,5,12,5,1,7,1,False,False,True,True,True,West
-1,5,-1,-1,1,1,5,12,5,1,7,1,True,False,True,True,True,West
-1,4,-1,-1,1,1,5,12,5,1,7,1,True,False,True,True,True,West
-1,3,-1,-1,1,1,5,12,5,1,7,1,True,False,True,True,True,West
-1,2,-1,-1,1,1,5,12,5,1,7,1,False,False,True,True,True,West
16,13,12,15,10,15,13,15,14,15,17,15,False,False,True,True,True,Stop
15,12,13,16,10,15,13,15,14,15,17,15,False,False,True,True,True,West
14,13,14,17,10,15,13,15,14,15,17,15,True,False,True,True,True,West
13,12,13,16,10,15,13,15,14,15,17,15,True,True,False,False,True,North
12,11,12,15,10,15,13,15,14,15,17,15,False,True,False,True,True,North
11,12,13,16,10,15,13,15,14,15,17,15,False,False,True,True,True,West
10,13,14,17,10,15,13,15,14,15,17,15,False,False,True,True,True,West
11,14,15,18,10,15,13,15,14,15,17,15,True,False,True,False,True,West
10,13,14,17,10,15,13,15,14,15,17,15,True,True,False,False,True,North
9,12,13,16,10,15,13,15,14,15,17,15,True,True,False,False,True,North
8,11,12,15,10,15,13,15,14,15,17,15,False,True,True,True,True,North
9,12,13,16,10,15,13,15,14,15,17,15,False,False,True,True,True,West
10,13,14,17,10,15,13,15,14,15,17,15,False,False,True,True,True,West
11,14,15,18,10,15,13,15,14,15,17,15,True,True,True,False,True,West
10,13,14,17,10,15,13,15,14,15,17,15,True,True,False,False,True,North
9,12,13,16,10,15,13,15,14,15,17,15,True,True,False,False,True,North
8,11,12,15,10,15,13,15,14,15,17,15,True,True,True,True,True,North
7,10,11,14,10,15,13,15,14,15,17,15,False,False,True,True,True,East
6,9,10,13,10,15,13,15,14,15,17,15,True,False,True,True,True,East
5,8,9,12,10,15,13,15,14,15,17,15,True,True,False,False,True,North
4,7,8,11,10,15,13,15,14,15,17,15,True,True,True,False,True,North
3,6,7,10,10,15,13,15,14,15,17,15,True,True,False,False,True,North
2,5,6,9,10,15,13,15,14,15,17,15,True,True,False,True,True,North
3,6,7,10,10,15,13,15,14,15,17,15,True,True,False,False,True,North
4,7,8,11,10,15,13,15,14,15,17,15,False,True,True,False,True,North
3,6,7,10,10,15,13,15,14,15,17,15,False,False,True,True,True,East
2,5,6,9,10,15,13,15,14,15,17,15,False,False,True,True,True,East
3,4,5,8,10,15,13,15,14,15,17,15,False,False,True,True,True,East
4,3,4,7,10,15,13,15,14,15,17,15,True,False,True,True,True,East
5,2,3,6,10,15,13,15,14,15,17,15,False,True,True,True,True,East
4,1,2,5,10,15,13,15,14,15,17,15,True,True,True,False,True,South
3,-1,1,4,10,15,3,1,14,15,17,15,True,False,True,True,True,South
2,-1,2,5,10,15,3,1,14,15,17,15,False,False,True,True,True,West
1,-1,3,6,10,15,3,1,14,15,17,15,False,False,True,True,True,West
-1,-1,4,7,1,1,3,1,14,15,17,15,False,False,True,False,True,West
-1,-1,3,6,1,1,3,1,14,15,17,15,False,False,True,True,True,East
-1,-1,2,5,1,1,3,1,14,15,17,15,False,False,True,True,True,East
-1,-1,1,4,1,1,3,1,14,15,17,15,True,False,True,True,True,East
-1,-1,-1,3,1,1,3,1,5,1,17,15,True,False,True,True,True,East
-1,-1,-1,2,1,1,3,1,5,1,17,15,False,False,True,True,True,East
13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,Stop
12,24,27,28,5,9,11,3,17,6,25,13,True,True,False,False,True,South
11,23,26,27,5,9,11,3,17,6,25,13,True,True,True,False,True,South
10,22,25,26,5,9,11,3,17,6,25,13,True,True,True,False,True,South
9,21,24,25,5,9,11,3,17,6,25,13,True,True,True,False,True,South
8,20,23,24,5,9,11,3,17,6,25,13,True,True,False,False,True,South
7,19,22,25,5,9,11,3,17,6,25,13,True,True,True,False,True,South
6,18,21,26,5,9,11,3,17,6,25,13,True,True,False,False,True,South
5,17,20,27,5,9,11,3,17,6,25,13,True,True,False,False,True,South
4,16,19,28,5,9,11,3,17,6,25,13,True,True,False,False,True,South
5,15,18,29,5,9,11,3,17,6,25,13,True,True,False,False,True,South
6,14,17,30,5,9,11,3,17,6,25,13,True,True,False,False,True,South
7,13,16,31,5,9,11,3,17,6,25,13,True,True,True,False,True,South
6,12,15,30,5,9,11,3,17,6,25,13,False,True,True,True,True,East
5,11,14,29,5,9,11,3,17,6,25,13,True,True,True,True,True,East
4,10,13,28,5,9,11,3,17,6,25,13,True,True,True,True,True,East
3,9,12,27,5,9,11,3,17,6,25,13,True,True,True,True,True,East
2,10,13,26,5,9,11,3,17,6,25,13,True,True,True,True,True,North
1,11,14,25,5,9,11,3,17,6,25,13,True,True,True,True,True,North
-1,12,15,24,1,1,11,3,17,6,25,13,True,True,True,True,True,North
-1,11,14,23,1,1,11,3,17,6,25,13,True,True,False,True,True,East
-1,10,13,24,1,1,11,3,17,6,25,13,True,True,False,True,True,South
-1,9,12,25,1,1,11,3,17,6,25,13,True,True,False,True,True,South
-1,8,11,26,1,1,11,3,17,6,25,13,True,False,True,True,True,South
-1,7,10,25,1,1,11,3,17,6,25,13,False,False,True,True,True,East
-1,6,9,24,1,1,11,3,17,6,25,13,True,True,True,True,True,East
-1,5,8,23,1,1,11,3,17,6,25,13,True,True,True,True,True,East
-1,4,7,22,1,1,11,3,17,6,25,13,True,True,True,True,True,East
-1,3,6,21,1,1,11,3,17,6,25,13,True,True,False,True,True,East
-1,4,7,20,1,1,11,3,17,6,25,13,True,True,False,True,True,North
-1,5,8,19,1,1,11,3,17,6,25,13,True,True,False,True,True,North
-1,6,9,18,1,1,11,3,17,6,25,13,True,True,False,True,True,North
-1,7,10,17,1,1,11,3,17,6,25,13,True,True,False,True,True,North
-1,8,11,16,1,1,11,3,17,6,25,13,True,True,False,True,True,North
-1,9,12,15,1,1,11,3,17,6,25,13,False,True,True,True,True,North
-1,10,11,14,1,1,11,3,17,6,25,13,False,False,True,True,True,East
-1,11,10,13,1,1,11,3,17,6,25,13,False,True,True,True,True,East
-1,12,9,12,1,1,11,3,17,6,25,13,True,True,True,True,True,East
-1,11,8,13,1,1,11,3,17,6,25,13,True,True,True,True,True,South
-1,10,7,14,1,1,11,3,17,6,25,13,True,True,True,True,True,South
-1,9,6,15,1,1,11,3,17,6,25,13,True,True,False,True,True,South
-1,8,5,16,1,1,11,3,17,6,25,13,True,True,True,True,True,South
-1,7,4,17,1,1,11,3,17,6,25,13,True,True,False,True,True,South
-1,6,3,18,1,1,11,3,17,6,25,13,True,True,True,True,True,South
-1,7,2,17,1,1,11,3,17,6,25,13,False,False,True,True,True,East
-1,8,1,16,1,1,11,3,17,6,25,13,False,False,True,True,True,East
-1,9,-1,15,1,1,11,3,5,1,25,13,False,True,True,True,True,East
-1,8,-1,16,1,1,11,3,5,1,25,13,False,False,True,True,True,West
-1,7,-1,17,1,1,11,3,5,1,25,13,False,False,True,True,True,West
-1,6,-1,18,1,1,11,3,5,1,25,13,True,True,True,True,True,West
-1,7,-1,17,1,1,11,3,5,1,25,13,True,True,False,True,True,North
-1,8,-1,16,1,1,11,3,5,1,25,13,True,True,True,True,True,North
-1,9,-1,15,1,1,11,3,5,1,25,13,True,True,False,True,True,North
-1,10,-1,14,1,1,11,3,5,1,25,13,True,True,True,True,True,North
-1,11,-1,13,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,12,-1,12,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,13,-1,11,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,14,-1,10,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,15,-1,9,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,16,-1,8,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,17,-1,7,1,1,11,3,5,1,25,13,True,True,False,True,True,North
-1,18,-1,6,1,1,11,3,5,1,25,13,True,True,False,True,True,North
-1,19,-1,5,1,1,11,3,5,1,25,13,True,True,False,True,True,North
-1,20,-1,6,1,1,11,3,5,1,25,13,True,True,False,True,True,North
-1,21,-1,7,1,1,11,3,5,1,25,13,True,True,True,False,True,North
-1,22,-1,6,1,1,11,3,5,1,25,13,True,False,True,True,True,East
-1,23,-1,5,1,1,11,3,5,1,25,13,True,True,True,True,True,East
-1,24,-1,4,1,1,11,3,5,1,25,13,True,True,True,True,True,East
-1,25,-1,3,1,1,11,3,5,1,25,13,True,True,True,True,True,East
-1,26,-1,2,1,1,11,3,5,1,25,13,True,True,False,True,True,East
-1,25,-1,1,1,1,11,3,5,1,25,13,True,True,False,True,True,South
-1,24,-1,-1,1,1,11,3,5,1,7,1,True,False,False,False,True,South
-1,25,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,North
-1,24,-1,-1,1,1,11,3,5,1,7,1,True,False,True,True,True,West
-1,23,-1,-1,1,1,11,3,5,1,7,1,True,True,True,True,True,West
-1,22,-1,-1,1,1,11,3,5,1,7,1,True,True,True,False,True,West
-1,23,-1,-1,1,1,11,3,5,1,7,1,True,True,True,True,True,North
-1,22,-1,-1,1,1,11,3,5,1,7,1,True,False,True,True,True,West
-1,21,-1,-1,1,1,11,3,5,1,7,1,True,True,True,False,True,West
-1,20,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,19,-1,-1,1,1,11,3,5,1,7,1,False,True,True,True,True,West
-1,18,-1,-1,1,1,11,3,5,1,7,1,False,True,True,True,True,West
-1,17,-1,-1,1,1,11,3,5,1,7,1,True,True,True,True,True,West
-1,16,-1,-1,1,1,11,3,5,1,7,1,True,False,True,True,True,West
-1,15,-1,-1,1,1,11,3,5,1,7,1,True,False,True,True,True,West
-1,14,-1,-1,1,1,11,3,5,1,7,1,True,True,True,True,True,West
-1,13,-1,-1,1,1,11,3,5,1,7,1,True,True,False,False,True,South
-1,12,-1,-1,1,1,11,3,5,1,7,1,True,True,True,True,True,South
-1,11,-1,-1,1,1,11,3,5,1,7,1,False,True,True,True,True,West
-1,10,-1,-1,1,1,11,3,5,1,7,1,False,False,True,True,True,West
-1,9,-1,-1,1,1,11,3,5,1,7,1,False,True,True,True,True,West
-1,8,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,7,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,6,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,5,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,4,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,3,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
-1,2,-1,-1,1,1,11,3,5,1,7,1,True,True,False,True,True,South
12,5,6,13,1,5,8,5,11,5,18,5,False,False,True,True,True,Stop
11,4,7,14,1,5,8,5,11,5,18,5,False,False,True,True,True,West
10,5,8,15,1,5,8,5,11,5,18,5,False,False,True,True,True,West
9,6,9,16,1,5,8,5,11,5,18,5,True,False,True,True,True,West
8,7,10,17,1,5,8,5,11,5,18,5,False,False,True,True,True,West
7,8,11,18,1,5,8,5,11,5,18,5,True,False,True,True,True,West
6,9,12,19,1,5,8,5,11,5,18,5,False,False,True,True,True,West
5,10,13,20,1,5,8,5,11,5,18,5,False,False,True,True,True,West
4,11,14,21,1,5,8,5,11,5,18,5,True,False,True,False,True,West
3,10,13,20,1,5,8,5,11,5,18,5,True,True,False,False,True,North
2,9,12,19,1,5,8,5,11,5,18,5,True,True,False,False,True,North
1,8,11,18,1,5,8,5,11,5,18,5,True,True,False,False,True,North
-1,7,10,17,1,1,8,5,11,5,18,5,False,True,True,False,True,North
-1,6,9,16,1,1,8,5,11,5,18,5,False,False,True,True,True,East
-1,5,8,15,1,1,8,5,11,5,18,5,False,False,True,True,True,East
-1,4,7,14,1,1,8,5,11,5,18,5,False,True,True,True,True,East
-1,3,6,13,1,1,8,5,11,5,18,5,False,True,True,True,True,East
-1,2,5,12,1,1,8,5,11,5,18,5,False,True,False,True,True,East
-1,3,6,13,1,1,8,5,11,5,18,5,True,True,False,True,True,South
-1,4,7,14,1,1,8,5,11,5,18,5,True,True,True,False,True,South
-1,3,6,13,1,1,8,5,11,5,18,5,False,False,True,True,True,East
-1,2,5,12,1,1,8,5,11,5,18,5,False,False,True,True,True,East
-1,3,4,11,1,1,8,5,11,5,18,5,True,False,True,True,True,East
-1,4,3,10,1,1,8,5,11,5,18,5,True,False,True,True,True,East
-1,3,2,9,1,1,8,5,11,5,18,5,True,True,False,True,True,North
-1,2,1,8,1,1,8,5,11,5,18,5,False,True,True,True,True,North
-1,3,-1,7,1,1,8,5,5,1,18,5,False,False,False,True,True,East
-1,2,-1,8,1,1,8,5,5,1,18,5,False,True,True,True,True,West
-1,3,-1,9,1,1,8,5,5,1,18,5,True,True,False,True,True,South
-1,4,-1,10,1,1,8,5,5,1,18,5,True,False,True,True,True,South
-1,5,-1,9,1,1,8,5,5,1,18,5,False,False,True,True,True,East
-1,6,-1,8,1,1,8,5,5,1,18,5,False,False,True,True,True,East
-1,7,-1,7,1,1,8,5,5,1,18,5,True,True,False,True,True,East
-1,6,-1,6,1,1,8,5,5,1,18,5,True,True,True,False,True,North
-1,7,-1,5,1,1,8,5,5,1,18,5,True,False,True,True,True,East
-1,8,-1,4,1,1,8,5,5,1,18,5,True,True,False,True,True,East
-1,7,-1,3,1,1,8,5,5,1,18,5,False,True,True,True,True,North
-1,8,-1,2,1,1,8,5,5,1,18,5,False,False,True,True,True,East
-1,9,-1,1,1,1,8,5,5,1,18,5,False,False,True,True,True,East
-1,10,-1,-1,1,1,8,5,5,1,7,1,False,True,False,True,True,East
-1,9,-1,-1,1,1,8,5,5,1,7,1,False,False,True,True,True,West
-1,8,-1,-1,1,1,8,5,5,1,7,1,False,False,True,True,True,West
-1,7,-1,-1,1,1,8,5,5,1,7,1,False,True,True,True,True,West
-1,6,-1,-1,1,1,8,5,5,1,7,1,False,True,True,True,True,West
-1,5,-1,-1,1,1,8,5,5,1,7,1,False,True,True,False,True,West
-1,6,-1,-1,1,1,8,5,5,1,7,1,True,True,True,False,True,South
-1,7,-1,-1,1,1,8,5,5,1,7,1,True,True,False,True,True,South
-1,6,-1,-1,1,1,8,5,5,1,7,1,False,False,True,True,True,West
-1,5,-1,-1,1,1,8,5,5,1,7,1,False,False,True,True,True,West
-1,4,-1,-1,1,1,8,5,5,1,7,1,True,False,True,True,True,West
-1,3,-1,-1,1,1,8,5,5,1,7,1,True,False,True,True,True,West
-1,2,-1,-1,1,1,8,5,5,1,7,1,True,True,True,False,True,North
11,7,7,18,6,5,6,9,8,11,14,6,False,True,True,False,True,Stop
10,6,8,17,6,5,6,9,8,11,14,6,True,True,False,False,True,South
9,5,9,16,6,5,6,9,8,11,14,6,True,True,True,False,True,South
8,6,10,15,6,5,6,9,8,11,14,6,True,True,True,False,True,South
7,7,11,14,6,5,6,9,8,11,14,6,True,True,True,False,True,South
6,8,12,13,6,5,6,9,8,11,14,6,True,True,False,False,True,South
5,9,13,14,6,5,6,9,8,11,14,6,True,True,True,False,True,South
4,8,12,13,6,5,6,9,8,11,14,6,False,True,True,True,True,East
3,7,11,12,6,5,6,9,8,11,14,6,False,True,True,True,True,East
2,6,10,11,6,5,6,9,8,11,14,6,False,True,True,True,True,East
1,5,9,10,6,5,6,9,8,11,14,6,False,True,True,True,True,East
-1,4,8,9,1,1,6,9,8,11,14,6,False,True,True,True,True,East
-1,5,7,8,1,1,6,9,8,11,14,6,False,True,True,True,True,East
-1,6,6,7,1,1,6,9,8,11,14,6,True,True,True,True,True,East
-1,7,7,6,1,1,6,9,8,11,14,6,True,True,True,True,True,East
-1,8,8,5,1,1,6,9,8,11,14,6,True,True,True,True,True,East
-1,7,7,4,1,1,6,9,8,11,14,6,True,True,False,True,True,North
-1,6,6,5,1,1,6,9,8,11,14,6,True,True,False,True,True,North
-1,5,5,6,1,1,6,9,8,11,14,6,True,True,False,True,True,North
-1,4,4,7,1,1,6,9,8,11,14,6,True,True,True,True,True,North
-1,5,3,8,1,1,6,9,8,11,14,6,True,True,True,False,True,North
-1,6,2,9,1,1,6,9,8,11,14,6,False,True,True,True,True,North
-1,5,1,10,1,1,6,9,8,11,14,6,False,False,True,True,True,West
-1,4,-1,11,1,1,6,9,5,1,14,6,False,False,True,True,True,West
-1,5,-1,10,1,1,6,9,5,1,14,6,False,False,True,True,True,East
-1,6,-1,9,1,1,6,9,5,1,14,6,False,True,True,True,True,East
-1,7,-1,8,1,1,6,9,5,1,14,6,False,True,True,True,True,East
-1,8,-1,7,1,1,6,9,5,1,14,6,False,False,True,True,True,East
-1,9,-1,6,1,1,6,9,5,1,14,6,False,False,True,True,True,East
-1,10,-1,5,1,1,6,9,5,1,14,6,False,True,True,True,True,East
-1,9,-1,4,1,1,6,9,5,1,14,6,True,True,False,False,True,South
-1,8,-1,3,1,1,6,9,5,1,14,6,True,True,True,True,True,South
-1,9,-1,2,1,1,6,9,5,1,14,6,True,True,True,True,True,South
-1,10,-1,1,1,1,6,9,5,1,14,6,True,True,True,True,True,South
-1,11,-1,-1,1,1,6,9,5,1,7,1,True,True,False,False,True,South
-1,10,-1,-1,1,1,6,9,5,1,7,1,True,True,True,True,True,North
-1,9,-1,-1,1,1,6,9,5,1,7,1,True,False,True,True,True,West
-1,8,-1,-1,1,1,6,9,5,1,7,1,True,False,True,False,True,West
-1,7,-1,-1,1,1,6,9,5,1,7,1,True,True,True,False,True,North
-1,6,-1,-1,1,1,6,9,5,1,7,1,False,True,True,True,True,North
-1,5,-1,-1,1,1,6,9,5,1,7,1,True,False,True,True,True,West
-1,4,-1,-1,1,1,6,9,5,1,7,1,True,True,True,True,True,West
-1,3,-1,-1,1,1,6,9,5,1,7,1,False,True,True,True,True,West
-1,2,-1,-1,1,1,6,9,5,1,7,1,False,True,True,True,True,West
11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,Stop
11,7,7,4,4,6,6,12,13,5,13,12,False,False,True,True,True,West
11,6,7,5,4,5,6,12,12,5,13,12,False,False,True,True,True,West
9,5,7,6,5,5,6,12,11,5,13,12,False,False,True,True,True,West
7,5,7,6,5,6,5,12,11,6,13,12,False,False,True,True,True,West
7,4,7,7,4,6,5,12,10,6,12,12,False,False,True,True,True,West
6,2,9,8,4,6,6,12,10,5,12,12,False,False,True,True,True,West
6,2,11,8,4,5,5,12,10,4,12,12,False,True,True,True,True,West
6,3,13,8,5,5,5,12,10,3,11,12,False,True,True,True,True,West
4,4,13,8,4,5,5,12,11,3,10,12,True,True,True,True,True,South
4,5,11,10,5,5,5,12,11,4,9,12,True,True,True,True,True,South
3,6,11,12,5,5,5,12,11,3,10,12,True,True,False,True,True,South
2,7,10,13,5,5,5,12,11,3,10,13,True,True,True,True,True,South
2,6,8,13,4,5,5,12,11,4,10,13,False,True,True,True,True,East
1,8,10,15,4,5,6,12,12,4,10,14,True,True,True,True,True,West
-1,10,10,17,1,1,7,12,12,3,11,14,True,True,True,True,True,South
-1,10,8,15,1,1,8,12,12,4,12,14,True,True,True,True,True,East
-1,10,6,13,1,1,8,13,12,5,11,14,True,True,True,True,True,East
-1,10,6,11,1,1,9,13,13,5,10,14,True,True,True,True,True,East
-1,9,4,9,1,1,9,13,12,5,9,14,True,True,False,True,True,East
-1,10,5,11,1,1,9,13,12,5,9,13,True,True,False,True,True,South
-1,11,5,11,1,1,9,13,11,5,10,13,True,False,True,True,True,South
-1,10,4,10,1,1,9,13,11,5,10,12,False,False,True,True,True,East
-1,12,3,10,1,1,8,13,11,5,10,12,True,False,True,True,True,East
-1,12,2,12,1,1,8,12,11,5,9,12,True,False,True,True,True,East
-1,10,2,10,1,1,9,12,12,5,8,12,True,True,True,True,True,North
-1,10,2,10,1,1,10,12,13,5,9,12,True,True,True,True,True,East
-1,11,2,12,1,1,10,12,14,5,10,12,True,True,True,True,True,East
-1,12,1,14,1,1,10,12,14,5,10,13,True,True,True,True,True,East
-1,12,-1,13,1,1,9,12,5,1,10,14,True,True,True,True,True,North
-1,12,-1,13,1,1,10,12,5,1,10,14,True,True,True,True,True,East
-1,10,-1,12,1,1,11,12,5,1,11,14,True,True,True,True,True,North
-1,10,-1,10,1,1,10,12,5,1,11,14,True,True,True,True,True,North
-1,9,-1,8,1,1,10,12,5,1,12,14,True,True,True,True,True,North
-1,7,-1,8,1,1,11,12,5,1,13,14,True,True,True,True,True,North
-1,5,-1,7,1,1,12,12,5,1,12,14,True,True,True,True,True,North
-1,3,-1,5,1,1,13,12,5,1,12,14,True,True,True,False,True,North
-1,3,-1,4,1,1,12,12,5,1,13,14,True,True,True,False,True,North
-1,4,-1,2,1,1,12,12,5,1,13,14,True,True,True,False,True,North
-1,4,-1,-1,1,1,13,12,5,1,14,14,False,True,True,True,True,North
-1,4,-1,-1,1,1,12,12,5,1,7,1,False,False,True,True,True,West
-1,3,-1,-1,1,1,12,12,5,1,7,1,False,False,True,True,True,West
-1,3,-1,-1,1,1,11,12,5,1,7,1,False,False,True,True,True,West
-1,3,-1,-1,1,1,10,12,5,1,7,1,False,False,True,True,True,West
-1,2,-1,-1,1,1,10,12,5,1,7,1,False,True,True,True,True,West
-1,2,-1,-1,1,1,11,12,5,1,7,1,True,True,False,True,True,South
11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,Stop
11,8,5,4,4,6,5,12,12,6,13,12,False,False,True,True,True,West
11,7,7,4,4,5,5,12,12,5,13,12,False,False,True,True,True,West
10,5,9,4,4,5,6,12,13,5,12,12,False,False,True,True,True,West
8,4,11,4,4,6,6,12,13,4,11,12,False,False,True,True,True,West
6,4,11,6,5,6,5,12,12,4,10,12,False,False,True,True,True,West
5,2,11,8,5,6,6,12,11,4,11,12,False,False,True,True,True,West
5,4,13,8,5,5,7,12,11,3,12,12,False,True,True,True,True,West
6,5,13,9,5,5,7,12,11,4,11,12,False,True,True,True,True,West
5,5,13,10,5,5,6,12,12,4,11,12,True,True,True,True,True,South
3,5,11,10,4,5,5,12,11,4,11,12,True,True,True,True,True,South
3,6,11,12,5,5,5,12,11,3,10,12,True,True,False,True,True,South
2,7,11,14,5,5,5,12,12,3,10,13,True,True,True,True,True,South
-1,6,9,14,1,1,5,12,11,3,10,14,False,True,True,True,True,East
-1,7,7,12,1,1,5,12,10,3,11,14,False,True,True,True,True,East
-1,8,6,10,1,1,5,12,10,3,10,14,False,True,True,True,True,East
-1,9,5,9,1,1,5,12,10,3,9,14,False,True,False,True,True,East
-1,10,3,10,1,1,5,12,10,4,9,14,True,True,False,True,True,South
-1,11,3,12,1,1,5,12,10,5,9,14,True,True,False,True,True,South
-1,12,4,12,1,1,5,12,10,5,10,14,True,False,True,True,True,South
-1,12,4,10,1,1,6,12,11,5,10,13,False,False,True,True,True,East
-1,14,4,12,1,1,5,12,12,5,9,13,True,False,True,True,True,East
-1,14,3,12,1,1,6,12,12,5,8,13,True,False,True,True,True,East
-1,15,3,14,1,1,6,12,11,5,8,12,True,False,True,True,True,East
-1,13,3,12,1,1,7,12,12,5,7,12,True,False,True,True,True,West
-1,15,1,14,1,1,6,12,12,4,8,12,True,False,True,True,True,East
-1,15,-1,14,1,1,5,12,5,1,7,12,True,True,True,True,True,North
-1,16,-1,15,1,1,5,12,5,1,6,12,True,True,True,True,True,East
-1,17,-1,16,1,1,5,12,5,1,6,12,True,True,True,True,True,East
-1,18,-1,18,1,1,5,12,5,1,6,12,True,True,True,True,True,East
-1,16,-1,16,1,1,6,12,5,1,5,12,True,True,True,True,True,North
-1,14,-1,15,1,1,7,12,5,1,6,12,True,True,True,True,True,North
-1,12,-1,13,1,1,8,12,5,1,6,12,True,True,True,True,True,North
-1,11,-1,13,1,1,8,12,5,1,7,12,True,True,True,True,True,North
-1,9,-1,11,1,1,9,12,5,1,6,12,True,True,True,True,True,North
-1,9,-1,9,1,1,9,13,5,1,7,12,True,True,True,True,True,North
-1,8,-1,7,1,1,9,13,5,1,8,12,True,True,True,False,True,North
-1,8,-1,7,1,1,8,13,5,1,9,12,True,True,True,False,True,North
-1,7,-1,5,1,1,8,13,5,1,9,13,True,True,True,False,True,North
-1,9,-1,6,1,1,8,12,5,1,10,13,False,True,True,True,True,North
-1,9,-1,5,1,1,7,12,5,1,10,13,False,False,True,True,True,West
-1,7,-1,5,1,1,8,12,5,1,10,13,False,False,True,True,True,West
-1,6,-1,3,1,1,8,12,5,1,10,12,False,False,True,True,True,West
-1,4,-1,3,1,1,8,13,5,1,10,13,False,False,True,True,True,West
-1,3,-1,1,1,1,8,13,5,1,10,12,False,True,True,True,True,West
-1,3,-1,-1,1,1,8,14,5,1,7,1,True,True,False,True,True,South
11,9,5,3,5,6,5,12,13,6,13,12,False,False,True,True,True,Stop
11,7,6,4,4,6,6,12,13,6,13,12,False,False,True,True,True,West
11,6,7,4,4,5,6,12,13,6,13,12,False,False,True,True,True,West
9,6,7,4,4,6,5,12,12,6,12,12,False,False,True,True,True,West
8,5,7,4,4,6,5,12,11,6,11,12,False,False,True,True,True,West
8,3,7,6,3,6,6,12,10,6,10,12,False,False,True,True,True,West
6,2,9,8,4,6,6,12,11,6,10,13,False,False,True,True,True,West
5,4,9,9,4,6,7,12,10,6,10,14,False,True,True,True,True,West
5,5,11,10,3,6,7,12,10,5,10,14,False,True,True,True,True,West
5,7,13,10,4,6,8,12,10,4,10,14,True,True,True,True,True,West
